10										
Pop.b_____	0.2046	0	0	0	0	0	0	0	0	0
Pop.c_____	0.4901	0.3984	0	0	0	0	0	0	0	0
Pop.d_____	0.5476	0.4164	0.2468	0	0	0	0	0	0	0
Pop.e_____	0.5718	0.4137	0.3743	0.3395	0	0	0	0	0	0
Pop.f_____	0.3332	0.3308	0.4232	0.4538	0.4324	0	0	0	0	0
Pop.g_____	0.3852	0.372	0.3245	0.3839	0.4937	0.317	0	0	0	0
Pop.h_____	0.3615	0.329	0.3806	0.3853	0.4145	0.2265	0.2363	0	0	0
Pop.i_____	0.4037	0.3559	0.349	0.3851	0.4419	0.2628	0.2403	0.1798	0	0
Pop.j_____	0.429	0.4297	0.4568	0.4533	0.5122	0.3186	0.3001	0.196	0.2515	0
										
										
10										
Pop.a_____	0	0	0	0	0	0	0	0	0	0
Pop.b_____	0.1895	0	0	0	0	0	0	0	0	0
Pop.c_____	0.4281	0.3684	0	0	0	0	0	0	0	0
Pop.d_____	0.4879	0.4034	0.2037	0	0	0	0	0	0	0
Pop.e_____	0.6387	0.5113	0.3678	0.3043	0	0	0	0	0	0
Pop.f_____	0.4668	0.3648	0.4514	0.4438	0.5474	0	0	0	0	0
Pop.g_____	0.4911	0.4958	0.4736	0.5254	0.6863	0.3932	0	0	0	0
Pop.h_____	0.3428	0.3081	0.3611	0.3836	0.4948	0.2329	0.3099	0	0	0
Pop.i_____	0.3898	0.34	0.4068	0.4039	0.5103	0.2267	0.3621	0.1405	0	0
Pop.j_____	0.4755	0.4348	0.4435	0.452	0.584	0.3521	0.3995	0.2234	0.2611	0
										
										
